raisedhands,VisITedResources,AnnouncementsView,Discussion,gender_M,StageID_MiddleSchool,StageID_lowerlevel,Semester_S,Relation_Mum,ParentAnsweringSurvey_Yes,ParentschoolSatisfaction_Good,StudentAbsenceDays_Under-7,class
10,7,0,30,1,0,1,0,0,0,0,0,0
30,25,5,35,1,0,1,0,0,0,0,0,0
35,12,0,17,1,1,0,0,0,0,0,0,0
50,88,30,80,1,1,0,0,0,1,1,1,1
5,1,0,11,1,0,1,0,0,0,0,0,0
20,14,12,19,1,1,0,0,0,0,0,0,0
62,70,44,60,0,1,0,0,1,0,0,0,1
70,50,40,99,1,1,0,0,1,1,1,1,1
2,0,2,50,1,1,0,0,0,0,0,0,0
0,2,3,70,1,1,0,0,0,1,1,0,0
8,7,30,40,1,1,0,0,0,1,1,0,0
25,15,12,33,1,1,0,0,0,0,0,0,0
35,80,50,70,0,1,0,0,0,1,1,1,1
4,5,40,16,1,1,0,0,0,1,1,0,0
2,19,10,50,0,0,1,0,0,1,1,0,0
8,22,9,40,1,0,1,0,0,0,0,0,0
12,11,8,40,1,1,0,0,0,0,0,0,0
10,12,17,30,1,1,0,0,0,0,0,0,0
8,6,4,22,1,1,0,0,1,1,1,0,0
0,0,0,4,1,1,0,0,0,0,0,0,0
14,13,3,70,0,1,0,0,0,0,0,0,0
10,12,7,33,1,0,0,0,0,1,1,0,0
20,12,15,70,1,1,0,0,0,0,1,0,0
7,10,1,30,1,0,1,0,0,0,0,0,0
70,4,39,90,0,0,0,0,1,1,1,1,1
13,80,40,88,0,0,0,0,1,1,1,1,1
20,14,12,70,0,0,0,0,0,0,0,0,0
39,15,16,50,1,0,0,0,0,0,1,0,0
49,70,19,75,0,0,0,0,1,1,1,1,1
12,50,8,30,1,0,0,0,1,0,0,0,0
16,14,6,20,1,1,0,0,0,1,1,0,0
19,5,4,1,1,1,0,0,0,1,1,0,0
5,2,6,5,1,1,0,0,0,1,1,0,0
21,10,28,20,0,0,1,0,1,0,1,0,0
80,90,70,80,1,0,0,0,1,1,1,1,1
0,5,7,2,1,0,0,0,0,0,0,0,0
13,5,18,19,1,0,0,0,0,0,0,0,0
65,75,23,80,0,0,0,0,1,1,1,1,1
70,69,35,30,0,0,0,0,1,1,1,1,1
22,30,10,12,1,1,0,0,0,1,1,0,0
11,2,2,8,1,1,0,0,0,0,0,1,0
12,0,6,13,1,1,0,0,0,0,0,1,0
13,3,11,9,1,0,0,0,0,0,0,0,0
80,90,49,55,0,1,0,0,1,1,0,1,1
8,15,10,40,1,1,0,0,0,1,0,1,0
8,25,1,70,1,0,1,0,0,0,0,0,0
7,5,2,80,1,0,1,0,0,1,1,0,0
50,70,50,10,1,0,1,0,0,1,1,0,1
1,0,1,12,1,0,1,0,0,0,0,0,0
70,12,40,50,1,0,1,0,0,1,1,1,1
19,70,3,50,1,0,1,0,0,0,0,1,0
3,12,4,33,0,0,1,0,0,0,0,1,0
5,20,1,50,1,0,1,0,0,1,1,0,0
4,8,10,60,1,0,1,0,0,1,1,0,0
80,90,55,19,1,0,1,0,0,1,1,1,1
50,70,19,15,0,0,1,0,0,1,1,1,1
55,89,40,40,1,0,1,0,0,1,1,1,1
80,44,35,10,0,0,1,0,0,0,1,0,0
100,80,2,70,0,0,1,0,0,0,0,1,1
14,60,11,75,0,0,1,0,0,1,1,1,1
70,92,50,7,0,0,1,0,1,1,1,1,1
2,6,2,8,0,0,1,0,0,0,0,0,0
1,7,6,10,1,0,1,0,0,0,0,0,0
0,0,5,80,0,0,1,0,0,1,1,0,0
70,90,41,33,1,0,1,0,0,1,0,1,1
70,88,55,40,0,0,1,0,1,1,1,1,1
2,5,3,50,1,0,1,0,0,0,0,0,0
25,27,0,69,1,0,1,0,0,0,0,0,0
11,2,0,50,1,0,1,0,0,0,0,0,0
0,8,11,70,1,0,1,0,0,1,1,0,0
25,29,40,17,0,0,1,0,1,0,1,1,1
0,4,8,30,1,0,1,0,1,0,0,0,0
0,6,4,15,1,0,1,0,0,1,0,1,0
12,30,0,17,1,0,1,0,0,0,1,0,0
55,33,6,9,1,0,1,0,0,0,0,0,0
12,10,20,16,1,0,1,0,0,0,0,1,0
70,90,2,2,1,0,1,0,0,1,1,1,0
7,9,5,30,0,0,1,0,0,0,0,0,0
0,3,10,3,1,0,1,1,0,0,0,0,0
12,60,0,70,1,0,1,1,0,1,1,0,0
80,80,15,70,1,1,0,1,0,1,1,1,1
70,80,95,70,0,1,0,1,1,1,1,1,1
70,80,95,70,0,0,0,1,1,1,1,1,1
100,80,95,90,0,1,0,0,1,0,0,1,1
10,60,5,20,1,1,0,0,0,1,0,0,0
19,65,50,10,1,1,0,1,0,0,0,0,0
80,90,55,19,1,1,0,1,0,1,1,1,1
10,10,15,19,1,1,0,1,0,0,0,0,0
100,75,50,70,0,1,0,1,1,1,1,1,1
100,75,50,70,0,1,0,1,1,1,0,1,1
80,80,51,59,1,0,0,1,0,1,1,1,1
100,91,98,40,0,0,0,1,0,1,0,1,1
10,51,40,40,1,0,0,1,0,0,0,0,0
70,58,73,91,1,0,0,1,0,1,0,1,1
22,51,48,10,1,1,0,1,0,0,0,0,0
82,89,58,50,0,1,0,1,1,1,1,1,1
70,82,3,73,0,0,1,1,1,0,0,1,1
72,65,73,66,0,0,1,1,1,1,1,1,1
80,92,83,43,1,0,1,1,1,1,1,1,1
60,52,23,33,1,0,1,1,1,1,1,1,1
40,62,83,33,1,0,1,1,0,1,1,1,1
20,22,53,13,1,0,1,1,1,0,1,0,0
20,52,23,33,1,0,1,1,1,1,1,0,0
10,2,13,53,1,0,1,1,0,0,0,0,0
60,52,23,33,1,0,1,1,1,1,0,1,1
80,42,33,13,0,0,1,1,1,1,0,1,1
60,70,63,93,0,0,1,1,0,1,0,1,1
50,62,13,33,1,0,1,1,0,0,0,0,0
85,75,62,53,1,1,0,1,1,1,0,1,1
10,35,30,13,1,1,0,1,1,0,0,0,0
87,65,82,33,1,1,0,1,1,1,1,1,1
75,71,72,53,1,1,0,1,1,1,1,1,1
23,25,32,53,1,1,0,1,0,0,0,1,0
15,25,37,13,1,1,0,1,0,1,1,0,0
92,65,62,53,1,1,0,1,1,1,1,1,1
83,75,62,53,1,1,0,1,1,0,0,1,1
27,15,42,53,1,1,0,1,0,0,0,0,0
15,90,52,83,1,1,0,1,1,1,0,1,1
45,58,52,43,0,1,0,1,1,1,1,1,1
29,10,12,24,1,1,0,1,0,0,0,0,0
72,51,42,24,0,1,0,1,1,1,0,0,1
27,90,82,14,1,1,0,1,1,1,1,1,1
87,81,42,19,1,1,0,1,1,1,1,1,1
7,61,22,14,1,1,0,1,0,0,0,0,0
17,50,2,4,1,1,0,1,0,0,0,0,0
5,21,42,14,1,1,0,1,0,0,1,0,0
96,61,42,94,1,1,0,1,1,1,0,1,1
72,83,12,90,1,1,0,1,1,1,1,1,1
87,81,22,70,1,1,0,1,1,1,0,1,1
2,11,62,30,1,1,0,1,0,0,0,1,0
5,3,2,10,1,1,0,1,0,1,1,1,0
73,84,77,81,1,0,0,1,1,1,1,0,1
5,17,21,10,1,1,0,1,0,0,0,0,0
9,7,21,20,1,1,0,1,0,1,1,0,0
12,8,18,26,1,1,0,1,0,0,0,0,0
52,10,13,6,1,1,0,1,0,0,0,0,0
92,80,88,76,1,1,0,1,1,1,1,1,1
72,80,98,96,1,1,0,1,1,1,0,1,1
22,20,18,6,1,1,0,1,0,0,0,0,0
70,92,83,85,1,1,0,1,1,1,0,1,1
80,94,62,77,0,1,0,1,0,1,1,1,1
70,40,2,16,0,1,0,1,0,0,0,0,0
15,6,32,40,1,0,1,1,0,1,1,1,1
19,74,32,17,1,0,1,1,1,0,1,0,0
39,26,12,44,1,0,1,1,0,0,0,0,0
59,97,42,70,1,0,1,1,0,1,1,1,1
10,17,12,40,1,0,1,1,0,1,1,1,1
80,87,72,60,0,0,1,1,1,0,1,1,1
69,34,12,17,1,0,1,1,1,0,0,0,0
10,17,12,14,1,0,1,1,0,0,0,0,0
79,84,82,37,0,1,0,1,1,0,0,1,1
90,84,52,30,0,1,0,0,1,0,1,1,1
22,20,6,26,1,1,0,1,0,0,0,1,1
95,82,82,70,0,1,0,0,1,1,1,1,1
90,62,80,60,0,1,0,1,1,1,1,1,1
72,21,22,26,1,1,0,0,1,1,1,1,1
92,31,42,27,1,1,0,1,1,1,1,1,1
74,71,56,37,1,1,0,0,1,0,1,1,1
74,60,56,37,1,1,0,1,1,0,1,1,1
95,94,72,80,0,1,0,0,1,0,1,1,1
97,87,82,86,0,1,0,1,1,0,1,1,1
51,79,85,89,0,1,0,0,1,1,1,1,1
81,79,91,85,0,1,0,1,1,1,1,1,1
49,36,32,44,0,0,1,0,0,0,0,0,0
42,24,12,24,0,0,1,1,0,0,0,0,0
90,86,82,74,0,0,1,0,1,1,1,1,1
62,64,72,84,0,0,1,1,1,1,1,1,1
98,87,86,84,0,0,1,0,1,0,1,1,1
72,74,82,89,0,0,1,1,1,0,1,1,1
10,12,20,13,1,0,1,0,0,0,0,0,0
22,34,15,9,1,0,1,1,0,0,0,0,0
65,59,74,83,1,0,1,0,1,1,1,1,1
72,64,59,89,1,0,1,1,1,1,1,1,1
55,79,44,43,0,0,1,0,1,1,1,1,1
62,64,69,49,0,0,1,1,1,1,1,1,1
78,88,74,83,0,0,1,0,1,1,1,1,1
72,84,89,89,0,0,1,1,1,1,1,1,1
60,92,83,23,1,0,1,0,1,1,1,1,1
50,90,83,13,1,0,1,1,1,1,1,1,1
60,97,13,3,0,0,1,0,1,1,1,1,1
50,95,23,10,0,0,1,1,1,1,1,1,1
10,15,10,21,1,0,1,0,0,0,0,0,0
30,10,20,5,1,0,1,1,0,0,0,0,0
10,15,10,21,1,0,1,0,0,0,0,0,0
30,10,20,5,1,0,1,1,0,0,0,0,0
40,7,50,41,1,0,1,0,0,0,1,0,0
35,2,29,33,1,0,1,1,0,0,1,0,0
10,8,9,3,1,0,1,0,1,0,1,0,0
15,7,12,7,1,0,1,1,1,0,1,0,0
14,97,15,14,0,0,1,0,1,0,1,1,1
13,82,20,30,0,0,1,0,1,0,1,1,1
24,97,15,14,0,0,1,1,1,0,1,1,1
23,82,20,30,0,0,1,1,1,0,1,1,1
20,3,9,3,1,0,1,0,1,0,1,0,0
15,4,12,7,1,0,1,1,1,0,1,0,0
5,13,6,6,1,0,1,0,1,0,1,0,0
7,9,11,10,1,0,1,1,1,0,1,0,0
30,98,42,21,1,0,1,0,1,1,1,1,1
35,97,41,23,1,0,1,1,1,1,1,1,1
72,98,52,15,0,0,1,0,1,1,1,1,1
75,90,51,17,0,0,1,1,1,1,1,1,1
90,98,41,38,1,0,1,0,0,1,1,1,1
80,88,51,39,1,0,1,1,0,1,1,1,1
80,95,21,28,1,0,1,0,0,1,1,1,1
78,70,31,29,1,0,1,1,0,1,1,1,1
98,88,60,31,0,0,1,0,1,0,1,1,1
75,81,51,34,0,0,1,1,1,0,1,1,1
10,20,22,97,0,0,1,0,0,0,0,0,0
5,9,19,98,0,0,1,1,0,0,0,0,0
10,10,40,51,1,0,1,0,0,0,0,0,0
35,2,29,23,1,0,1,1,0,0,0,0,0
10,30,50,91,1,0,1,0,0,1,0,0,0
12,22,59,83,1,0,1,1,0,1,0,0,0
11,20,20,98,0,0,1,0,0,0,0,0,0
10,12,29,93,0,0,1,1,0,0,0,0,0
69,82,20,28,1,0,1,0,1,1,1,1,1
70,83,29,33,1,0,1,1,1,1,1,1,1
89,92,40,28,0,0,1,0,1,1,1,1,1
79,93,49,23,0,0,1,1,1,1,1,1,1
4,10,11,7,1,0,1,0,1,0,1,0,0
5,0,1,8,1,0,1,1,1,0,1,0,0
86,98,50,20,0,1,0,0,1,1,1,1,1
90,90,57,22,0,1,0,1,1,1,1,1,1
78,91,50,40,1,1,0,0,1,1,1,1,1
70,98,54,72,1,1,0,1,1,1,1,1,1
88,90,86,81,1,1,0,0,0,1,1,1,1
89,92,89,83,1,1,0,1,0,1,1,1,1
76,81,80,86,1,1,0,0,0,0,1,1,1
65,89,64,82,1,1,0,1,0,0,1,1,1
96,95,70,70,0,1,0,0,1,1,1,1,1
80,91,87,72,0,1,0,1,1,1,1,1,1
2,9,10,1,1,1,0,0,1,0,0,0,0
3,8,19,3,1,1,0,1,1,0,0,0,0
70,89,12,21,0,1,0,0,1,0,1,1,1
59,90,19,43,0,1,0,1,1,0,1,1,1
10,9,2,1,0,1,0,0,1,0,1,0,0
9,7,9,3,0,1,0,1,1,0,1,0,0
98,90,86,71,1,1,0,0,0,1,1,1,1
89,92,89,83,1,1,0,1,0,1,1,1,1
88,90,76,81,1,1,0,0,0,1,1,1,1
99,96,89,84,1,1,0,1,0,1,1,1,1
82,89,22,31,0,1,0,0,1,1,1,1,1
84,92,29,43,0,1,0,1,1,1,1,1,1
90,79,76,79,0,1,0,0,1,1,1,1,1
84,77,79,68,0,1,0,1,1,1,1,1,1
10,0,2,41,1,1,0,0,0,0,0,0,0
11,2,9,49,1,1,0,1,0,0,0,0,0
85,89,22,61,1,1,0,0,0,0,0,1,1
80,89,23,68,1,1,0,1,0,0,0,1,1
75,72,64,39,1,1,0,0,1,1,1,0,0
72,76,66,40,1,1,0,1,1,1,1,0,0
87,92,74,89,1,1,0,0,1,1,1,1,1
81,84,77,85,1,1,0,1,1,1,1,1,1
15,97,22,10,0,1,0,0,0,1,1,1,1
19,98,20,2,0,1,0,1,0,1,1,1,1
85,90,52,30,0,1,0,0,0,1,1,1,1
79,91,49,22,0,1,0,1,0,1,1,1,1
90,91,80,81,1,1,0,0,0,1,1,1,1
80,90,80,83,1,1,0,1,0,1,1,1,1
85,99,42,90,0,1,0,0,1,1,1,1,1
89,96,45,92,0,1,0,1,1,1,1,1,1
80,82,64,58,0,1,0,0,1,1,1,1,1
87,93,63,60,0,1,0,1,1,1,1,1,1
15,9,14,80,0,1,0,0,0,0,0,0,0
9,6,15,85,0,1,0,1,0,0,0,0,0
2,7,4,8,0,1,0,0,0,0,0,0,0
5,4,5,8,0,1,0,1,0,0,0,0,0
30,17,14,57,0,1,0,0,0,0,0,0,0
35,14,23,62,0,1,0,1,0,0,0,0,0
